Gene name	Gene stable ID
AC073610.1	ENSG00000239617
SLC35E2	ENSG00000215790
AC037459.4	ENSG00000254230
AC005552.1	ENSG00000264174
CCDC65	ENSG00000139537
LINC01012	ENSG00000281706
AC087854.1	ENSG00000254272
AC037459.2	ENSG00000251034
AC104365.2	ENSG00000267501
AC022903.1	ENSG00000264622
GLULP4	ENSG00000178723
TMSB4XP8	ENSG00000187653
TUBB4BP3	ENSG00000237458
LINC01926	ENSG00000267593
PPP3CC	ENSG00000120910
PGK2	ENSG00000170950
TNFSF10	ENSG00000121858
METTL21C	ENSG00000139780
CCSER1	ENSG00000184305
GPR89P	ENSG00000216915
CPLX3	ENSG00000213578
RPL12P43	ENSG00000234524
AL031282.2	ENSG00000268575
NOP56P1	ENSG00000273323
RSL24D1P1	ENSG00000218069
ARSK	ENSG00000164291
LAGE3P1	ENSG00000225693
AL354761.2	ENSG00000236543
AC022133.1	ENSG00000241809
TCEA1P4	ENSG00000236184
AC025180.1	ENSG00000249899
B3GNTL1P1	ENSG00000251237
AP005262.1	ENSG00000264189
GLT6D1	ENSG00000204007
CDK11A	ENSG00000008128
CXCL8	ENSG00000169429
AL391095.2	ENSG00000275285
AP005230.1	ENSG00000263745
DTWD1	ENSG00000104047
AL391095.1	ENSG00000224635
APTX	ENSG00000137074
AC073610.3	ENSG00000272822
AL391095.3	ENSG00000275401
ITGA2	ENSG00000164171
ARF3	ENSG00000134287
C6orf136	ENSG00000233641
AC007919.1	ENSG00000224611
AL442071.1	ENSG00000226438
KLHL36	ENSG00000135686
GRTP1-AS1	ENSG00000225083
AL356055.1	ENSG00000270040
AL844539.1	ENSG00000272907
AL139395.1	ENSG00000271589
AL136221.1	ENSG00000276434
KIAA2022	ENSG00000050030
AC048380.2	ENSG00000278983
LINC01637	ENSG00000237476
GRTP1	ENSG00000139835
AC048380.1	ENSG00000267762
NPM1P42	ENSG00000259259
NPR3	ENSG00000113389
RPS4XP22	ENSG00000239830
PKLR	ENSG00000262785
CRKL	ENSG00000099942
FAM104B	ENSG00000182518
AC004054.1	ENSG00000248984
AC093729.1	ENSG00000251401
CTIF	ENSG00000134030
AC074124.1	ENSG00000249049
LINC01766	ENSG00000224910
DUXAP6	ENSG00000258726
LACTBL1	ENSG00000215906
AC100802.1	ENSG00000253775
AC116903.1	ENSG00000258761
RPL30P9	ENSG00000242709
SSXP1	ENSG00000197185
AC116903.2	ENSG00000260661
OSTCP5	ENSG00000234315
AL590233.1	ENSG00000225460
GTF2H4	ENSG00000213780
ZSWIM5	ENSG00000162415
AC009997.1	ENSG00000259369
SLCO3A1	ENSG00000176463
AC139677.5	ENSG00000281797
AL121796.1	ENSG00000250681
PSORS1C3	ENSG00000231450
ASMT	ENSG00000196433
ATP11C	ENSG00000101974
CNTNAP3P1	ENSG00000273509
AL136985.2	ENSG00000272226
KRTAP3-2	ENSG00000263296
LINC01135	ENSG00000234807
RNH1	ENSG00000276230
AC105277.1	ENSG00000232453
KRTAP3-4P	ENSG00000262616
DHX16	ENSG00000233561
CHGA	ENSG00000276781
AL136985.1	ENSG00000231740
KRTAP3-1	ENSG00000262068
AC002115.1	ENSG00000267626
RBAK-RBAKDN	ENSG00000272968
LINC01144	ENSG00000281912
CATSPERG	ENSG00000099338
KRTAP1-5	ENSG00000261862
LINC01623	ENSG00000272629
RPL38P1	ENSG00000241993
AL844539.2	ENSG00000273122
AC024475.1	ENSG00000254653
PARP8	ENSG00000151883
C14orf105	ENSG00000100557
ZNF90P2	ENSG00000229714
FBLIM1	ENSG00000162458
RBAKDN	ENSG00000273313
DCC	ENSG00000187323
PHF21A	ENSG00000135365
AC008267.4	ENSG00000236928
FAM175B	ENSG00000165660
RNF216P1	ENSG00000196204
HCG14	ENSG00000227559
SKP1P1	ENSG00000231234
GTF2IP9	ENSG00000251451
AC112518.2	ENSG00000249051
MLLT10P2	ENSG00000249462
AC008267.5	ENSG00000244510
AC008267.6	ENSG00000244657
AF146191.1	ENSG00000271307
AC009505.1	ENSG00000234162
TPST1	ENSG00000169902
AGPAT1	ENSG00000236873
C2orf50	ENSG00000150873
KRTAP1-4	ENSG00000263242
PPBPP1	ENSG00000250550
DDAH2	ENSG00000225635
AL590240.1	ENSG00000186678
CXCL6	ENSG00000124875
TRA2B	ENSG00000136527
GP2	ENSG00000169347
NPM1P5	ENSG00000258925
RNF5	ENSG00000223767
LINC00174	ENSG00000179406
AC022919.1	ENSG00000279250
KRTAP1-3	ENSG00000262347
AC048380.3	ENSG00000279629
AC093567.1	ENSG00000267764
MTCO1P52	ENSG00000229760
YWHAZP6	ENSG00000215199
AL008638.1	ENSG00000231405
KRTAP1-1	ENSG00000262808
AC013799.1	ENSG00000254754
AL021153.1	ENSG00000238195
MTND2P24	ENSG00000231947
C2orf40	ENSG00000119147
LINC01638	ENSG00000233521
TPBG	ENSG00000146242
AC026427.2	ENSG00000251001
AC079097.1	ENSG00000249213
RASGRF2-AS1	ENSG00000251450
CKMT2-AS1	ENSG00000247572
ETV2	ENSG00000105672
AL020994.4	ENSG00000233574
PIAS3	ENSG00000131788
CDY9P	ENSG00000232899
AC024341.1	ENSG00000255086
COMTD1	ENSG00000165644
TAF9P2	ENSG00000229302
TCF19	ENSG00000224472
AC121161.2	ENSG00000249901
AC099687.1	ENSG00000255243
AC121161.1	ENSG00000248387
CLUHP2	ENSG00000228945
AC008267.2	ENSG00000230189
AC008267.7	ENSG00000279785
CKMT2	ENSG00000131730
HPDL	ENSG00000186603
AL008729.2	ENSG00000272379
RXFP1	ENSG00000171509
AL390294.1	ENSG00000232638
GPR150	ENSG00000178015
GATA3-AS1	ENSG00000197308
RBAK	ENSG00000146587
PHACTR1	ENSG00000112137
AL020994.2	ENSG00000226741
HCG27	ENSG00000234079
AL020994.1	ENSG00000223726
CR388229.1	ENSG00000228469
AL020994.3	ENSG00000230051
VARS2	ENSG00000137411
FCER1G	ENSG00000158869
AL591379.2	ENSG00000244081
SLCO6A1	ENSG00000205359
AL049536.1	ENSG00000280445
AL138799.3	ENSG00000234683
AC092032.1	ENSG00000270822
BMS1P9	ENSG00000198312
FAM224A	ENSG00000233522
SPDYE19P	ENSG00000275328
HNRNPA3P14	ENSG00000224494
AL683807.1	ENSG00000223511
AL050402.1	ENSG00000227880
AL662824.1	ENSG00000228579
TUBB1P1	ENSG00000249726
AL133456.1	ENSG00000224027
HLA-DPB1	ENSG00000230708
AL121885.2	ENSG00000227838
TRIM27	ENSG00000215641
AL121885.3	ENSG00000231495
AL121885.1	ENSG00000226169
RPS28P8	ENSG00000226093
ADGRL2	ENSG00000117114
AC011155.2	ENSG00000280098
MN1	ENSG00000169184
AL442663.3	ENSG00000258813
PPP3CA	ENSG00000138814
AC011155.1	ENSG00000273762
AL442663.2	ENSG00000258448
AC099849.1	ENSG00000270855
AC103949.1	ENSG00000264263
TFAM	ENSG00000108064
LINC00283	ENSG00000231633
PQLC3	ENSG00000162976
YWHAB	ENSG00000166913
CCDC168	ENSG00000175820
CCL4L2	ENSG00000282604
AL096814.1	ENSG00000214732
FBXO6	ENSG00000116663
SPATA9	ENSG00000145757
GUCA1A	ENSG00000048545
ITGA8	ENSG00000077943
NUDT17	ENSG00000186364
LINC02171	ENSG00000250632
TBC1D7	ENSG00000145979
TEX46	ENSG00000227868
SMARCAD1	ENSG00000163104
AC131056.5	ENSG00000282512
C16orf59	ENSG00000162062
AC141928.1	ENSG00000250986
AP006245.2	ENSG00000254320
AC026427.1	ENSG00000249772
AC026436.1	ENSG00000248794
PF4V1	ENSG00000109272
ZNF812P	ENSG00000224689
AC090809.1	ENSG00000253363
PRRC2C	ENSG00000117523
RFESD	ENSG00000175449
TUBB7P	ENSG00000251297
RASGRF2	ENSG00000113319
RPL23P10	ENSG00000244708
LINC02107	ENSG00000250003
LINC02119	ENSG00000248461
TRIM40	ENSG00000227458
AC009501.3	ENSG00000270437
TBC1D3B	ENSG00000278632
ADRA2C	ENSG00000184160
LINC02425	ENSG00000256259
AC009501.2	ENSG00000232403
RPL21P18	ENSG00000213343
DBIL5P2	ENSG00000242412
OR7E163P	ENSG00000251166
SNHG17	ENSG00000196756
AC007241.1	ENSG00000282909
FAM41AY2	ENSG00000226362
AC005625.1	ENSG00000266963
AC021698.1	ENSG00000254819
EIF4BP8	ENSG00000243918
NME9	ENSG00000181322
AL591379.1	ENSG00000182021
AC008759.3	ENSG00000277587
HLA-DPA1	ENSG00000224103
AL020996.2	ENSG00000255054
OR7E162P	ENSG00000234386
AP000473.1	ENSG00000228798
AC008759.1	ENSG00000267490
AC017104.1	ENSG00000224376
AP000473.2	ENSG00000270093
AUNIP	ENSG00000127423
PELO	ENSG00000152684
CLIC1	ENSG00000226417
AC147876.1	ENSG00000249522
AF130359.1	ENSG00000237735
RPS4XP18	ENSG00000239490
AQP7P4	ENSG00000176115
DUTP6	ENSG00000225171
AC008759.2	ENSG00000267612
MICB	ENSG00000204516
TADA1	ENSG00000152382
KCNU1	ENSG00000215262
AL020996.3	ENSG00000272478
APOA2	ENSG00000158874
CNOT4P1	ENSG00000236704
TET2	ENSG00000168769
ADPRHL1	ENSG00000153531
MTFR1L	ENSG00000117640
SNORA71B	ENSG00000235408
IGHA2	ENSG00000276173
EML1	ENSG00000066629
KCNE2	ENSG00000159197
DUX4L9	ENSG00000224807
PHF24	ENSG00000122733
AGPAT3	ENSG00000160216
ZNF528	ENSG00000167555
PRRT1	ENSG00000238056
AC084754.1	ENSG00000244712
AP000320.1	ENSG00000225555
IGHE	ENSG00000276192
AC024132.2	ENSG00000251080
CCDC91	ENSG00000123106
C9orf92	ENSG00000205549
HNRNPA1P30	ENSG00000233780
LINC02261	ENSG00000249699
AC024132.1	ENSG00000205830
AC024132.3	ENSG00000251325
IGBP1P5	ENSG00000250858
GPR157	ENSG00000180758
AC007106.1	ENSG00000251410
KDM1A	ENSG00000004487
B3GNT7	ENSG00000156966
AL359182.2	ENSG00000230013
CARS	ENSG00000110619
AC109588.1	ENSG00000250038
AJ011932.1	ENSG00000274248
FLJ20021	ENSG00000254531
TET2-AS1	ENSG00000251586
AC097480.1	ENSG00000250064
AC007391.1	ENSG00000232028
IGHG4	ENSG00000277016
MESTP3	ENSG00000250927
NPM1P31	ENSG00000214807
AC131056.2	ENSG00000282319
AC008250.1	ENSG00000257022
GLP2R	ENSG00000065325
PPT2	ENSG00000236649
AC008250.2	ENSG00000275567
MTND1P30	ENSG00000238047
AC068944.2	ENSG00000276507
LINC02364	ENSG00000250190
Z98044.1	ENSG00000281937
GTF3AP5	ENSG00000225816
MIR34AHG	ENSG00000228526
TPT1P8	ENSG00000219491
ABCC9	ENSG00000069431
AC006458.1	ENSG00000227489
KRTAP2-1	ENSG00000261852
AC124076.1	ENSG00000274489
LINC01759	ENSG00000234546
AGER	ENSG00000231268
PARP14	ENSG00000173193
CCDC88A	ENSG00000115355
CCL3L3	ENSG00000277768
DNAJC3-AS1	ENSG00000247400
DNAJB5-AS1	ENSG00000281491
AGMO	ENSG00000187546
ZBTB12	ENSG00000237900
ARMC8	ENSG00000114098
AC068944.1	ENSG00000249228
AC109349.1	ENSG00000248176
PPP1R11	ENSG00000233314
LINC02472	ENSG00000248338
C2	ENSG00000235017
CSNK1A1P1	ENSG00000223518
AC092593.2	ENSG00000251373
AC073508.2	ENSG00000264058
AC092593.1	ENSG00000251113
SLC18A1	ENSG00000036565
TPST2P1	ENSG00000260582
AC073508.3	ENSG00000278834
EEF1A1P21	ENSG00000249542
MTND5P2	ENSG00000229622
KRT222	ENSG00000213424
MTND6P18	ENSG00000227714
AC097510.1	ENSG00000249564
C15orf41	ENSG00000186073
FHP1	ENSG00000234213
DNAJC3	ENSG00000102580
LKAAEAR1	ENSG00000171695
HLA-C	ENSG00000228299
DGKH	ENSG00000102780
NPM1P45	ENSG00000265593
AC090531.1	ENSG00000257228
OPRL1	ENSG00000125510
PDZRN4	ENSG00000165966
LUZP1	ENSG00000169641
SMARCE1	ENSG00000073584
RNF39	ENSG00000236967
AL138955.1	ENSG00000276809
MTCYBP3	ENSG00000232373
CCL26	ENSG00000006606
PTP4A2	ENSG00000184007
AC022364.1	ENSG00000247934
AC022079.2	ENSG00000278733
AC022364.2	ENSG00000255951
AC106820.2	ENSG00000259895
AC022079.1	ENSG00000273989
AL161672.1	ENSG00000229010
PNPLA7	ENSG00000130653
AL031428.1	ENSG00000240553
AC239804.2	ENSG00000274019
AC010338.1	ENSG00000276332
QPCT	ENSG00000115828
CTBP2	ENSG00000175029
LCN9	ENSG00000148386
ALG1L7P	ENSG00000251271
KLF18	ENSG00000283039
AC005550.3	ENSG00000237070
NSUN2	ENSG00000037474
AC226119.2	ENSG00000271977
MEOX2	ENSG00000106511
AP005136.1	ENSG00000264150
AL008729.1	ENSG00000215022
AC226119.1	ENSG00000253917
AC245297.2	ENSG00000272755
AP005136.2	ENSG00000266783
AC245297.3	ENSG00000274265
FAM86EP	ENSG00000251669
METTL4	ENSG00000101574
AC245297.1	ENSG00000215861
TMBIM4	ENSG00000155957
ACSM5	ENSG00000183549
AL136115.1	ENSG00000228634
AL136115.2	ENSG00000269967
AC092953.1	ENSG00000244346
AL354919.1	ENSG00000203620
H6PD	ENSG00000049239
DCUN1D1	ENSG00000043093
PPIAP27	ENSG00000234363
AC005300.1	ENSG00000236325
AC103988.1	ENSG00000261315
SELENON	ENSG00000162430
FAM32BP	ENSG00000203416
IGHG2	ENSG00000274497
AC013640.1	ENSG00000261191
AC103988.2	ENSG00000261635
ADA2	ENSG00000093072
AC137056.1	ENSG00000262995
AL355816.1	ENSG00000272982
AC008752.3	ENSG00000267370
SLC44A1	ENSG00000070214
UBE2L4	ENSG00000267741
CEPT1	ENSG00000134255
RPSAP54	ENSG00000213621
ZNF846	ENSG00000196605
AL928742.2	ENSG00000282430
SOHLH1	ENSG00000165643
TEX30	ENSG00000151287
C21orf140	ENSG00000222018
IGHGP	ENSG00000282094
SMIM11A	ENSG00000205670
ELK2AP	ENSG00000282360
FRG2	ENSG00000205097
AC010319.3	ENSG00000269053
DPPA5P1	ENSG00000269776
AC010319.4	ENSG00000269481
SLC35A1	ENSG00000164414
BISPR	ENSG00000282851
VPS33B	ENSG00000184056
DKC1	ENSG00000130826
AL020996.1	ENSG00000228172
ZNF534	ENSG00000198633
RARRES2P4	ENSG00000250053
AC009127.3	ENSG00000263311
UBASH3A	ENSG00000160185
RPL39P25	ENSG00000227271
ATP5A1P3	ENSG00000263232
AL731566.2	ENSG00000276742
COQ10B	ENSG00000115520
AL731566.1	ENSG00000273891
NSMCE4A	ENSG00000107672
MYT1L-AS1	ENSG00000225619
MYT1L	ENSG00000186487
CCKBR	ENSG00000110148
SRD5A1	ENSG00000145545
AL161804.1	ENSG00000259039
LSM1P1	ENSG00000233551
AC132942.1	ENSG00000240898
AL136520.1	ENSG00000258856
AL450003.2	ENSG00000234779
AL449983.1	ENSG00000231756
C4B-AS1	ENSG00000227884
MEOX2-AS1	ENSG00000229108
P2RX5-TAX1BP3	ENSG00000257950
AGGF1P1	ENSG00000214273
SLC35F4	ENSG00000151812
AC005550.1	ENSG00000225974
CLUHP4	ENSG00000249003
TPPP	ENSG00000171368
BNC2	ENSG00000173068
CFB	ENSG00000239754
NPBWR2	ENSG00000125522
U85056.1	ENSG00000277162
CTNS	ENSG00000040531
DBET	ENSG00000281591
DUX4L8	ENSG00000281720
AL049697.1	ENSG00000213204
DUX4L7	ENSG00000281652
CEP72	ENSG00000112877
HLA-Z	ENSG00000237871
AC025459.1	ENSG00000251062
DUX4L6	ENSG00000281058
MVB12A	ENSG00000141971
ST13P16	ENSG00000218698
AL049697.2	ENSG00000216324
HMGB2	ENSG00000164104
DRAM2	ENSG00000156171
CFAP206	ENSG00000272514
POU5F1	ENSG00000235068
AC026740.1	ENSG00000271781
AC010343.3	ENSG00000250697
MYT1	ENSG00000196132
LLPH	ENSG00000139233
AC034223.1	ENSG00000249102
MRPL50P2	ENSG00000238285
LINC02160	ENSG00000251443
AC010343.2	ENSG00000250672
LINC02120	ENSG00000248279
AC010343.1	ENSG00000240376
ARPC2	ENSG00000163466
AC034223.2	ENSG00000251281
DUX4L5	ENSG00000280799
LLPH-AS1	ENSG00000239335
AC078927.1	ENSG00000228144
AC009061.1	ENSG00000261320
TRIM10	ENSG00000227472
HSD11B2	ENSG00000176387
DUX4L4	ENSG00000258834
AC009704.2	ENSG00000276934
EGFL8	ENSG00000240389
DUX4L1	ENSG00000280757
DDX60	ENSG00000137628
LYSMD1	ENSG00000163155
AL450003.1	ENSG00000230694
AL355916.3	ENSG00000258989
CNDP2	ENSG00000133313
DUX4L3	ENSG00000281627
AP000322.3	ENSG00000273104
AL355916.2	ENSG00000258926
AL359220.1	ENSG00000247287
AL731571.1	ENSG00000273599
AP000322.1	ENSG00000243627
AL663061.2	ENSG00000256851
AL049697.3	ENSG00000218793
DUX4L2	ENSG00000280457
AP000322.2	ENSG00000272958
ZRANB1	ENSG00000019995
AC027141.1	ENSG00000266296
RPS3AP17	ENSG00000244031
TMOD4	ENSG00000163157
MAPK6PS3	ENSG00000237263
PRKCH	ENSG00000027075
CHCHD2P11	ENSG00000270809
AL157932.1	ENSG00000231530
AC027796.4	ENSG00000262903
CARS-AS1	ENSG00000247473
TAX1BP3	ENSG00000213977
AL390208.1	ENSG00000271730
CCL4L2	ENSG00000275313
SESN1	ENSG00000080546
AL731577.1	ENSG00000226899
AL731577.2	ENSG00000249456
EMC6	ENSG00000127774
MTRNR2L10	ENSG00000256045
CNGB1	ENSG00000070729
AC123023.1	ENSG00000236452
P2RX5	ENSG00000083454
AC018359.1	ENSG00000227498
AC093390.2	ENSG00000284600
LINC01811	ENSG00000226320
AC093390.1	ENSG00000232057
VPS72	ENSG00000163159
USP10	ENSG00000103194
ULK2	ENSG00000083290
LATS2	ENSG00000150457
TMEM39A	ENSG00000176142
FOXD4	ENSG00000170122
AC068831.8	ENSG00000278514
AC068831.4	ENSG00000258542
AC068831.7	ENSG00000275929
AL355613.1	ENSG00000227215
AC068831.1	ENSG00000214432
LINC02068	ENSG00000223387
PHF11	ENSG00000136147
AC106868.1	ENSG00000248281
LATS2-AS1	ENSG00000233851
KCNH4	ENSG00000089558
UBE3D	ENSG00000118420
APOM	ENSG00000224290
VENTXP7	ENSG00000236380
TRIM15	ENSG00000235960
AL928768.2	ENSG00000282474
IRX5	ENSG00000176842
AL355816.2	ENSG00000273221
RBM11	ENSG00000185272
AC242843.1	ENSG00000274423
AC068831.5	ENSG00000258665
IGHA1	ENSG00000282633
AL450023.2	ENSG00000234792
SLC31A1P1	ENSG00000224426
MSH5	ENSG00000230961
AC012519.1	ENSG00000225662
AGTR1	ENSG00000144891
ZBTB8OSP2	ENSG00000172799
AC017104.2	ENSG00000230047
AC017104.3	ENSG00000233538
SCNM1	ENSG00000163156
MKNK2	ENSG00000099875
AC007919.2	ENSG00000231384
MARVELD2	ENSG00000274671
AL139005.1	ENSG00000279393
ERC1	ENSG00000082805
CADPS	ENSG00000163618
EIF4A1P7	ENSG00000235472
NCEH1	ENSG00000144959
BBC3	ENSG00000105327
LINC01919	ENSG00000263438
SDR42E2	ENSG00000183921
AC090912.2	ENSG00000266850
POMP	ENSG00000132963
DHODH	ENSG00000102967
AC091147.1	ENSG00000265939
LINC01917	ENSG00000260433
PPT2	ENSG00000206329
AC090912.3	ENSG00000273232
AC139677.1	ENSG00000275621
AC090912.1	ENSG00000265943
FECHP1	ENSG00000235534
AC067945.1	ENSG00000229023
AC037482.2	ENSG00000262731
AC005540.1	ENSG00000235852
LAP3P1	ENSG00000220091
KRTAP2-3	ENSG00000262862
RBBP8	ENSG00000101773
RNASEL	ENSG00000135828
STAT1	ENSG00000115415
AC010319.1	ENSG00000254503
PPP2R2A	ENSG00000221914
AC106738.1	ENSG00000259711
AC106738.2	ENSG00000259725
PAGE5	ENSG00000158639
RPL23AP93	ENSG00000232873
SAG	ENSG00000130561
STK26	ENSG00000134602
TNFAIP8L2	ENSG00000163154
AC217775.1	ENSG00000281693
TMEM107	ENSG00000179029
AC139677.2	ENSG00000275949
FLJ22447	ENSG00000232774
AC005550.2	ENSG00000235828
ITIH5	ENSG00000123243
AC006041.1	ENSG00000229379
AL355916.1	ENSG00000250548
KRTAP2-4	ENSG00000263091
AP4B1	ENSG00000134262
TMEM30B	ENSG00000182107
RPS12P23	ENSG00000180172
AC108215.1	ENSG00000280285
KRTAP2-5P	ENSG00000262376
IPPKP1	ENSG00000225585
AC037482.3	ENSG00000266286
AL845321.1	ENSG00000228522
AC022150.3	ENSG00000269349
HOPX	ENSG00000171476
IGHEP1	ENSG00000281947
ZNF578	ENSG00000258405
AQP7P1	ENSG00000186466
ARHGEF11	ENSG00000132694
AC128688.2	ENSG00000261488
MTND5P34	ENSG00000260147
PIK3IP1-AS1	ENSG00000228839
COX7A1	ENSG00000161281
RPS10P21	ENSG00000232881
IGHG1	ENSG00000277633
PIK3IP1	ENSG00000100100
RPL18AP17	ENSG00000227952
AC010332.2	ENSG00000278543
EGFLAM-AS1	ENSG00000249491
AC109462.3	ENSG00000263207
EGFLAM-AS3	ENSG00000249071
AC109462.4	ENSG00000283423
AF212831.1	ENSG00000232886
IRX6	ENSG00000159387
MTND2P17	ENSG00000258239
EGFLAM	ENSG00000164318
TRIM31-AS1	ENSG00000235722
AC002470.1	ENSG00000272829
TRIM31	ENSG00000224542
ZNF503-AS2	ENSG00000237149
BCL2L2-PABPN1	ENSG00000258643
ZNF385D	ENSG00000151789
KRTAP4-8	ENSG00000261968
MTND1P24	ENSG00000257858
RPS17P13	ENSG00000224706
AIFM3	ENSG00000183773
AC109462.2	ENSG00000259283
KRTAP4-16	ENSG00000262520
GATA3	ENSG00000107485
PATZ1	ENSG00000100105
AC099794.1	ENSG00000234318
ELMO1	ENSG00000155849
ZNF503-AS1	ENSG00000226051
DUX4	ENSG00000260596
KRTAP4-9	ENSG00000262121
ZDHHC11B	ENSG00000206077
RPL36AP29	ENSG00000224683
ISPD	ENSG00000214960
PPP1R3E	ENSG00000235194
NDUFB4P3	ENSG00000231096
COL6A1	ENSG00000142156
AC015726.3	ENSG00000279251
AC011468.4	ENSG00000270248
ZNF503	ENSG00000165655
DNM1	ENSG00000106976
NDC80	ENSG00000080986
ZNF385D-AS1	ENSG00000225542
CCDC9	ENSG00000105321
EEF2K	ENSG00000103319
ZNF385D-AS2	ENSG00000223351
RPL21P110	ENSG00000226617
AC244505.2	ENSG00000223958
AL450023.3	ENSG00000237275
AC010997.5	ENSG00000273248
ISPD-AS1	ENSG00000229688
AC244505.5	ENSG00000229826
AC010997.3	ENSG00000270087
SSXP5	ENSG00000225508
AC244505.7	ENSG00000269281
AC010997.1	ENSG00000223428
SSX7	ENSG00000187754
HMGA1P5	ENSG00000233313
HOMEZ	ENSG00000215271
AC010997.4	ENSG00000272692
LINC02400	ENSG00000257784
SPA17P1	ENSG00000236797
ZNF616	ENSG00000204611
ELOCP13	ENSG00000225716
AC090630.1	ENSG00000257239
AC006197.1	ENSG00000257128
NEK4P1	ENSG00000225735
MUC15	ENSG00000169550
UBAP2L	ENSG00000143569
AP000457.1	ENSG00000278181
SSX8	ENSG00000157965
AC023513.1	ENSG00000271379
AL049829.3	ENSG00000270433
AC023932.1	ENSG00000265994
MFGE8	ENSG00000140545
AL049829.1	ENSG00000240131
OFD1P4Y	ENSG00000229406
AL450023.1	ENSG00000228354
DDX3Y	ENSG00000067048
C17orf53	ENSG00000125319
BCL2L15	ENSG00000188761
RNF212B	ENSG00000215277
SSX2	ENSG00000241476
ZFP57	ENSG00000232099
LINC01549	ENSG00000232560
AC011468.2	ENSG00000267827
BRD9P2	ENSG00000249908
RPL39P40	ENSG00000226580
AC010320.1	ENSG00000267927
RPL37P23	ENSG00000243680
AC079064.1	ENSG00000255505
AC009034.1	ENSG00000261113
AC011468.3	ENSG00000268458
BIVM-ERCC5	ENSG00000270181
KCNE1	ENSG00000180509
ANO3	ENSG00000134343
ZNF836	ENSG00000196267
USP9YP14	ENSG00000227494
AC099794.2	ENSG00000237163
KATNBL1P3	ENSG00000235422
AC011475.1	ENSG00000271010
GXYLT1	ENSG00000151233
AC129492.4	ENSG00000266824
CCL24	ENSG00000106178
NRADDP	ENSG00000236409
PAGE3	ENSG00000204279
AL137856.1	ENSG00000231128
AC129492.7	ENSG00000279152
ZDHHC20P1	ENSG00000226303
BORCS6	ENSG00000196544
RSBN1	ENSG00000081019
SAP18	ENSG00000150459
AC109462.1	ENSG00000240760
KRTAP4-11	ENSG00000263229
AC023932.2	ENSG00000271238
RGS16	ENSG00000143333
AL391358.1	ENSG00000270619
AC105245.1	ENSG00000266479
AL009179.1	ENSG00000217862
LINC01739	ENSG00000229537
EGFL8	ENSG00000244444
AC074237.1	ENSG00000265980
BCL2L2	ENSG00000129473
SRP68P3	ENSG00000237911
AC096664.1	ENSG00000228872
AC244505.4	ENSG00000226867
USP32P3	ENSG00000189423
AC016734.1	ENSG00000228305
ELOCP7	ENSG00000230377
AL158211.2	ENSG00000271981
AL158211.4	ENSG00000272516
SSX2B	ENSG00000268447
HSFY1	ENSG00000172468
KRTAP4-12	ENSG00000263236
TARM1	ENSG00000276355
AC117569.1	ENSG00000264587
MDH1	ENSG00000014641
PRORSD1P	ENSG00000162997
AC002984.1	ENSG00000267005
DCLRE1B	ENSG00000118655
AL158211.3	ENSG00000272366
AL162400.1	ENSG00000227485
AC090506.1	ENSG00000266196
AC012358.3	ENSG00000240401
AC090506.2	ENSG00000279734
KRTAP29-1	ENSG00000262218
RPL12P14	ENSG00000224321
AC020550.1	ENSG00000231699
MTRNR2L8	ENSG00000255823
AC016382.1	ENSG00000265670
HIST1H2BL	ENSG00000185130
ITPK1	ENSG00000274958
USP9YP5	ENSG00000249634
AL162400.2	ENSG00000229225
BMS1P10	ENSG00000237238
AC022486.1	ENSG00000251510
AL158819.1	ENSG00000232765
MOB4	ENSG00000115540
AP4B1-AS1	ENSG00000226167
GPM6BP1	ENSG00000230458
HIST1H2AI	ENSG00000196747
TP53TG1	ENSG00000182165
AC011939.1	ENSG00000259924
OFD1P5Y	ENSG00000240438
SP7	ENSG00000170374
PABPN1	ENSG00000100836
UQCRHL	ENSG00000233954
AC144587.1	ENSG00000274567
USP9YP1	ENSG00000250951
PTPN22	ENSG00000134242
ERCC5	ENSG00000134899
INTS14	ENSG00000138614
IGHG3	ENSG00000282184
PRYP5	ENSG00000233546
HIST1H3H	ENSG00000278828
XKRYP1	ENSG00000238067
TTTY9B	ENSG00000131007
AC090453.1	ENSG00000243503
DSC3	ENSG00000134762
NFATC4	ENSG00000100968
RCC2P7	ENSG00000220666
RALGPS1	ENSG00000136828
RPL39P34	ENSG00000242255
CDS2	ENSG00000101290
AC244505.3	ENSG00000225397
ZNF701	ENSG00000167562
RPSAP65	ENSG00000223683
CSRNP1	ENSG00000144655
AC096543.1	ENSG00000203605
AC096543.2	ENSG00000228734
DCUN1D2	ENSG00000150401
LINC00466	ENSG00000224209
ASB16	ENSG00000161664
BORA	ENSG00000136122
SLC46A3	ENSG00000139508
AL137028.2	ENSG00000278171
ETV1	ENSG00000006468
OCLN	ENSG00000273814
PCMTD2	ENSG00000203880
EGFLAM-AS2	ENSG00000248572
CXADR	ENSG00000154639
AL845464.1	ENSG00000254875
SCNN1D	ENSG00000162572
AC091839.1	ENSG00000248234
AC094108.1	ENSG00000249017
EGFLAM-AS4	ENSG00000248730
KRTAP9-10P	ENSG00000263103
AC010457.1	ENSG00000251257
AC092053.2	ENSG00000283849
AL161452.1	ENSG00000226706
ASB16-AS1	ENSG00000267080
ITGAM	ENSG00000169896
C9orf116	ENSG00000160345
LINC00491	ENSG00000250682
AC022150.1	ENSG00000268886
ZNF808	ENSG00000198482
AC099487.1	ENSG00000247402
