,DrugBank ID,Drug Name,Drug Type,UniProt ID,Protein Names,Gene Symbol,Length
3137,DB00586,Diclofenac,SmallMoleculeDrug,O43526,Potassium voltage-gated channel subfamily KQT member 2,KCNQ2,872.0
3138,DB00586,Diclofenac,SmallMoleculeDrug,O43525,Potassium voltage-gated channel subfamily KQT member 3,KCNQ3,872.0
3139,DB00586,Diclofenac,SmallMoleculeDrug,P14555,"Phospholipase A2, membrane associated",PLA2G2A,144.0
3140,DB00587,Cinalukast,SmallMoleculeDrug,Q9Y271,Cysteinyl leukotriene receptor 1,CYSLTR1,337.0
3141,DB00588,Fluticasone Propionate,SmallMoleculeDrug,P04150,Glucocorticoid receptor,NR3C1,777.0
3142,DB00588,Fluticasone Propionate,SmallMoleculeDrug,P06401,Progesterone receptor,PGR,933.0
3143,DB00588,Fluticasone Propionate,SmallMoleculeDrug,P47712,Cytosolic phospholipase A2,PLA2G4A,749.0
3144,DB00588,Fluticasone Propionate,SmallMoleculeDrug,P08235,Mineralocorticoid receptor,NR3C2,984.0
3145,DB00589,Lisuride,SmallMoleculeDrug,P14416,D(2) dopamine receptor,DRD2,443.0
3146,DB00589,Lisuride,SmallMoleculeDrug,P35462,D(3) dopamine receptor,DRD3,400.0
3147,DB00589,Lisuride,SmallMoleculeDrug,P21917,D(4) dopamine receptor,DRD4,467.0
3148,DB00589,Lisuride,SmallMoleculeDrug,P21728,D(1A) dopamine receptor,DRD1,446.0
3149,DB00589,Lisuride,SmallMoleculeDrug,P21918,D(1B) dopamine receptor,DRD5,477.0
3150,DB00589,Lisuride,SmallMoleculeDrug,P08908,5-hydroxytryptamine receptor 1A,HTR1A,422.0
3151,DB00589,Lisuride,SmallMoleculeDrug,P28221,5-hydroxytryptamine receptor 1D,HTR1D,377.0
3152,DB00589,Lisuride,SmallMoleculeDrug,P41595,5-hydroxytryptamine receptor 2B,HTR2B,481.0
3153,DB00589,Lisuride,SmallMoleculeDrug,P28223,5-hydroxytryptamine receptor 2A,HTR2A,471.0
3154,DB00589,Lisuride,SmallMoleculeDrug,P28335,5-hydroxytryptamine receptor 2C,HTR2C,458.0
3155,DB00589,Lisuride,SmallMoleculeDrug,P28222,5-hydroxytryptamine receptor 1B,HTR1B,390.0
3156,DB00589,Lisuride,SmallMoleculeDrug,P08913,Alpha-2A adrenergic receptor,ADRA2A,450.0
3157,DB00589,Lisuride,SmallMoleculeDrug,P18089,Alpha-2B adrenergic receptor,ADRA2B,450.0
3158,DB00589,Lisuride,SmallMoleculeDrug,P18825,Alpha-2C adrenergic receptor,ADRA2C,462.0
3159,DB00590,Doxazosin,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor,ADRA1A,466.0
3160,DB00590,Doxazosin,SmallMoleculeDrug,P35368,Alpha-1B adrenergic receptor,ADRA1B,520.0
3161,DB00590,Doxazosin,SmallMoleculeDrug,P25100,Alpha-1D adrenergic receptor,ADRA1D,572.0
3162,DB00590,Doxazosin,SmallMoleculeDrug,Q12809,Potassium voltage-gated channel subfamily H member 2,KCNH2,1159.0
3163,DB00590,Doxazosin,SmallMoleculeDrug,Q9H252,Potassium voltage-gated channel subfamily H member 6,KCNH6,994.0
3164,DB00590,Doxazosin,SmallMoleculeDrug,Q9NS40,Potassium voltage-gated channel subfamily H member 7,KCNH7,1196.0
3165,DB00591,Fluocinolone Acetonide,SmallMoleculeDrug,P04150,Glucocorticoid receptor,NR3C1,777.0
3166,DB00592,Piperazine,SmallMoleculeDrug,P28472,Gamma-aminobutyric acid receptor subunit beta-3,GABRB3,473.0
3167,DB00593,Ethosuximide,SmallMoleculeDrug,O43497,Voltage-dependent T-type calcium channel subunit alpha-1G,CACNA1G,2377.0
3168,DB00594,Amiloride,SmallMoleculeDrug,P37088,Amiloride-sensitive sodium channel subunit alpha,SCNN1A,669.0
3169,DB00594,Amiloride,SmallMoleculeDrug,P51168,Amiloride-sensitive sodium channel subunit beta,SCNN1B,640.0
3170,DB00594,Amiloride,SmallMoleculeDrug,P51170,Amiloride-sensitive sodium channel subunit gamma,SCNN1G,649.0
3171,DB00594,Amiloride,SmallMoleculeDrug,P51172,Amiloride-sensitive sodium channel subunit delta,SCNN1D,638.0
3172,DB00594,Amiloride,SmallMoleculeDrug,P19801,Amiloride-sensitive amine oxidase [copper-containing],AOC1,751.0
3173,DB00594,Amiloride,SmallMoleculeDrug,Q16515,Acid-sensing ion channel 2,ASIC2,512.0
3174,DB00594,Amiloride,SmallMoleculeDrug,P78348,Acid-sensing ion channel 1,ASIC1,528.0
3175,DB00594,Amiloride,SmallMoleculeDrug,P19634,Sodium/hydrogen exchanger 1,SLC9A1,815.0
3176,DB00594,Amiloride,SmallMoleculeDrug,P00749,Urokinase-type plasminogen activator,PLAU,431.0
3179,DB00596,Ulobetasol,SmallMoleculeDrug,P04150,Glucocorticoid receptor,NR3C1,777.0
3180,DB00598,Labetalol,SmallMoleculeDrug,P08588,Beta-1 adrenergic receptor,ADRB1,477.0
3181,DB00598,Labetalol,SmallMoleculeDrug,P07550,Beta-2 adrenergic receptor,ADRB2,413.0
3182,DB00598,Labetalol,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor,ADRA1A,466.0
3183,DB00598,Labetalol,SmallMoleculeDrug,P35368,Alpha-1B adrenergic receptor,ADRA1B,520.0
3184,DB00598,Labetalol,SmallMoleculeDrug,P25100,Alpha-1D adrenergic receptor,ADRA1D,572.0
3185,DB00599,Thiopental,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1,GABRA1,456.0
3186,DB00599,Thiopental,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2,GABRA2,451.0
3187,DB00599,Thiopental,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3,GABRA3,492.0
3188,DB00599,Thiopental,SmallMoleculeDrug,P48169,Gamma-aminobutyric acid receptor subunit alpha-4,GABRA4,554.0
3189,DB00599,Thiopental,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5,GABRA5,462.0
3190,DB00599,Thiopental,SmallMoleculeDrug,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6,GABRA6,453.0
3191,DB00599,Thiopental,SmallMoleculeDrug,P43681,Neuronal acetylcholine receptor subunit alpha-4,CHRNA4,627.0
3192,DB00599,Thiopental,SmallMoleculeDrug,P36544,Neuronal acetylcholine receptor subunit alpha-7,CHRNA7,502.0
3193,DB00599,Thiopental,SmallMoleculeDrug,P42262,Glutamate receptor 2,GRIA2,883.0
3194,DB00599,Thiopental,SmallMoleculeDrug,Q13002,"Glutamate receptor ionotropic, kainate 2",GRIK2,908.0
3195,DB00599,Thiopental,SmallMoleculeDrug,O00519,Fatty-acid amide hydrolase 1,FAAH,579.0
3196,DB00600,Monobenzone,SmallMoleculeDrug,P14679,Tyrosinase,TYR,529.0
3197,DB00602,Ivermectin,SmallMoleculeDrug,O75311,Glycine receptor subunit alpha-3,GLRA3,464.0
3198,DB00602,Ivermectin,SmallMoleculeDrug,P28472,Gamma-aminobutyric acid receptor subunit beta-3,GABRB3,473.0
3199,DB00603,Medroxyprogesterone acetate,SmallMoleculeDrug,P06401,Progesterone receptor,PGR,933.0
3200,DB00603,Medroxyprogesterone acetate,SmallMoleculeDrug,P03372,Estrogen receptor,ESR1,595.0
3201,DB00604,Cisapride,SmallMoleculeDrug,Q13639,5-hydroxytryptamine receptor 4,HTR4,388.0
3202,DB00604,Cisapride,SmallMoleculeDrug,P46098,5-hydroxytryptamine receptor 3A,HTR3A,478.0
3203,DB00604,Cisapride,SmallMoleculeDrug,P28223,5-hydroxytryptamine receptor 2A,HTR2A,471.0
3204,DB00604,Cisapride,SmallMoleculeDrug,Q12809,Potassium voltage-gated channel subfamily H member 2,KCNH2,1159.0
3205,DB00605,Sulindac,SmallMoleculeDrug,P35354,Prostaglandin G/H synthase 2,PTGS2,604.0
3206,DB00605,Sulindac,SmallMoleculeDrug,P23219,Prostaglandin G/H synthase 1,PTGS1,599.0
3207,DB00605,Sulindac,SmallMoleculeDrug,P15121,Aldose reductase,AKR1B1,316.0
3208,DB00605,Sulindac,SmallMoleculeDrug,P27361,Mitogen-activated protein kinase 3,MAPK3,379.0
3209,DB00605,Sulindac,SmallMoleculeDrug,Q03181,Peroxisome proliferator-activated receptor delta,PPARD,441.0
3210,DB00605,Sulindac,SmallMoleculeDrug,Q9Y5Y4,Prostaglandin D2 receptor 2,PTGDR2,395.0
3211,DB00606,Cyclothiazide,SmallMoleculeDrug,P54710,Sodium/potassium-transporting ATPase subunit gamma,FXYD2,66.0
3212,DB00606,Cyclothiazide,SmallMoleculeDrug,P00915,Carbonic anhydrase 1,CA1,261.0
3213,DB00606,Cyclothiazide,SmallMoleculeDrug,P00918,Carbonic anhydrase 2,CA2,260.0
3214,DB00606,Cyclothiazide,SmallMoleculeDrug,P22748,Carbonic anhydrase 4,CA4,312.0
3220,DB00608,Chloroquine,SmallMoleculeDrug,P09210,Glutathione S-transferase A2,GSTA2,222.0
3221,DB00608,Chloroquine,SmallMoleculeDrug,P01375,Tumor necrosis factor,TNF,233.0
3222,DB00608,Chloroquine,SmallMoleculeDrug,Q9NR96,Toll-like receptor 9,TLR9,1032.0
3226,DB00610,Metaraminol,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor,ADRA1A,466.0
3227,DB00611,Butorphanol,SmallMoleculeDrug,P41145,Kappa-type opioid receptor,OPRK1,380.0
3228,DB00611,Butorphanol,SmallMoleculeDrug,P41143,Delta-type opioid receptor,OPRD1,372.0
3229,DB00611,Butorphanol,SmallMoleculeDrug,P35372,Mu-type opioid receptor,OPRM1,400.0
3230,DB00612,Bisoprolol,SmallMoleculeDrug,P08588,Beta-1 adrenergic receptor,ADRB1,477.0
3231,DB00612,Bisoprolol,SmallMoleculeDrug,P07550,Beta-2 adrenergic receptor,ADRB2,413.0
3232,DB00613,Amodiaquine,SmallMoleculeDrug,P50135,Histamine N-methyltransferase,HNMT,292.0
3236,DB00615,Rifabutin,SmallMoleculeDrug,P07900,Heat shock protein HSP 90-alpha,HSP90AA1,732.0
3237,DB00615,Rifabutin,SmallMoleculeDrug,P14625,Endoplasmin,HSP90B1,803.0
3238,DB00616,Candoxatril,SmallMoleculeDrug,P08473,Neprilysin,MME,750.0
3239,DB00616,Candoxatril,SmallMoleculeDrug,P12821,Angiotensin-converting enzyme,ACE,1306.0
3240,DB00617,Paramethadione,SmallMoleculeDrug,Q9P0X4,Voltage-dependent T-type calcium channel subunit alpha-1I,CACNA1I,2223.0
3243,DB00619,Imatinib,SmallMoleculeDrug,A9UF02,BCR/ABL fusion protein isoform X9,BCR/ABL,1644.0
3244,DB00619,Imatinib,SmallMoleculeDrug,P10721,Mast/stem cell growth factor receptor Kit,KIT,976.0
3245,DB00619,Imatinib,SmallMoleculeDrug,O43519,RET proto-oncogene,RET,23.0
3246,DB00619,Imatinib,SmallMoleculeDrug,P04629,High affinity nerve growth factor receptor,NTRK1,796.0
3247,DB00619,Imatinib,SmallMoleculeDrug,P07333,Macrophage colony-stimulating factor 1 receptor,CSF1R,972.0
3248,DB00619,Imatinib,SmallMoleculeDrug,P16234,Platelet-derived growth factor receptor alpha,PDGFRA,1089.0
3249,DB00619,Imatinib,SmallMoleculeDrug,Q08345,Epithelial discoidin domain-containing receptor 1,DDR1,913.0
3250,DB00619,Imatinib,SmallMoleculeDrug,P00519,Tyrosine-protein kinase ABL1,ABL1,1130.0
3251,DB00619,Imatinib,SmallMoleculeDrug,P09619,Platelet-derived growth factor receptor beta,PDGFRB,1106.0
3252,DB00620,Triamcinolone,SmallMoleculeDrug,P04150,Glucocorticoid receptor,NR3C1,777.0
3253,DB00621,Oxandrolone,SmallMoleculeDrug,P10275,Androgen receptor,AR,920.0
3254,DB00622,Nicardipine,SmallMoleculeDrug,Q13936,Voltage-dependent L-type calcium channel subunit alpha-1C,CACNA1C,2221.0
3255,DB00622,Nicardipine,SmallMoleculeDrug,Q08289,Voltage-dependent L-type calcium channel subunit beta-2,CACNB2,660.0
3256,DB00622,Nicardipine,SmallMoleculeDrug,Q01668,Voltage-dependent L-type calcium channel subunit alpha-1D,CACNA1D,2161.0
3257,DB00622,Nicardipine,SmallMoleculeDrug,P54289,Voltage-dependent calcium channel subunit alpha-2/delta-1,CACNA2D1,1103.0
3258,DB00622,Nicardipine,SmallMoleculeDrug,P54750,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A",PDE1A,535.0
3259,DB00622,Nicardipine,SmallMoleculeDrug,Q01064,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B",PDE1B,536.0
3260,DB00622,Nicardipine,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor,ADRA1A,466.0
3261,DB00622,Nicardipine,SmallMoleculeDrug,P35368,Alpha-1B adrenergic receptor,ADRA1B,520.0
3262,DB00622,Nicardipine,SmallMoleculeDrug,P25100,Alpha-1D adrenergic receptor,ADRA1D,572.0
3263,DB00622,Nicardipine,SmallMoleculeDrug,P11229,Muscarinic acetylcholine receptor M1,CHRM1,460.0
3264,DB00622,Nicardipine,SmallMoleculeDrug,P08172,Muscarinic acetylcholine receptor M2,CHRM2,466.0
3265,DB00622,Nicardipine,SmallMoleculeDrug,P20309,Muscarinic acetylcholine receptor M3,CHRM3,590.0
3266,DB00622,Nicardipine,SmallMoleculeDrug,P08173,Muscarinic acetylcholine receptor M4,CHRM4,479.0
3267,DB00622,Nicardipine,SmallMoleculeDrug,P08912,Muscarinic acetylcholine receptor M5,CHRM5,532.0
3269,DB00623,Fluphenazine,SmallMoleculeDrug,P14416,D(2) dopamine receptor,DRD2,443.0
3270,DB00623,Fluphenazine,SmallMoleculeDrug,P21728,D(1A) dopamine receptor,DRD1,446.0
3272,DB00624,Testosterone,SmallMoleculeDrug,P10275,Androgen receptor,AR,920.0
3274,DB00626,Bacitracin,SmallMoleculeDrug,P14735,Insulin-degrading enzyme,IDE,1019.0
3275,DB00626,Bacitracin,SmallMoleculeDrug,P01023,Alpha-2-macroglobulin,A2M,1474.0
3276,DB00627,Niacin,SmallMoleculeDrug,P49019,Hydroxycarboxylic acid receptor 3,HCAR3,387.0
3277,DB00627,Niacin,SmallMoleculeDrug,Q8TDS4,Hydroxycarboxylic acid receptor 2,HCAR2,363.0
3278,DB00627,Niacin,SmallMoleculeDrug,Q15274,Nicotinate-nucleotide pyrophosphorylase [carboxylating],QPRT,297.0
3279,DB00627,Niacin,SmallMoleculeDrug,P40261,Nicotinamide N-methyltransferase,NNMT,264.0
3280,DB00628,Clorazepate,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1,GABRA1,456.0
3281,DB00628,Clorazepate,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2,GABRA2,451.0
3282,DB00628,Clorazepate,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3,GABRA3,492.0
3283,DB00628,Clorazepate,SmallMoleculeDrug,P48169,Gamma-aminobutyric acid receptor subunit alpha-4,GABRA4,554.0
3284,DB00628,Clorazepate,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5,GABRA5,462.0
3285,DB00628,Clorazepate,SmallMoleculeDrug,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6,GABRA6,453.0
3286,DB00628,Clorazepate,SmallMoleculeDrug,P18505,Gamma-aminobutyric acid receptor subunit beta-1,GABRB1,474.0
3287,DB00628,Clorazepate,SmallMoleculeDrug,P47870,Gamma-aminobutyric acid receptor subunit beta-2,GABRB2,512.0
3288,DB00628,Clorazepate,SmallMoleculeDrug,P28472,Gamma-aminobutyric acid receptor subunit beta-3,GABRB3,473.0
3289,DB00628,Clorazepate,SmallMoleculeDrug,O14764,Gamma-aminobutyric acid receptor subunit delta,GABRD,452.0
3290,DB00628,Clorazepate,SmallMoleculeDrug,P78334,Gamma-aminobutyric acid receptor subunit epsilon,GABRE,506.0
3291,DB00628,Clorazepate,SmallMoleculeDrug,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1,GABRG1,465.0
3292,DB00628,Clorazepate,SmallMoleculeDrug,P18507,Gamma-aminobutyric acid receptor subunit gamma-2,GABRG2,467.0
3293,DB00628,Clorazepate,SmallMoleculeDrug,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3,GABRG3,467.0
3294,DB00628,Clorazepate,SmallMoleculeDrug,O00591,Gamma-aminobutyric acid receptor subunit pi,GABRP,440.0
3295,DB00628,Clorazepate,SmallMoleculeDrug,Q9UN88,Gamma-aminobutyric acid receptor subunit theta,GABRQ,632.0
3296,DB00628,Clorazepate,SmallMoleculeDrug,P30536,Translocator protein,TSPO,169.0
3297,DB00629,Guanabenz,SmallMoleculeDrug,P08913,Alpha-2A adrenergic receptor,ADRA2A,450.0
3298,DB00629,Guanabenz,SmallMoleculeDrug,P18089,Alpha-2B adrenergic receptor,ADRA2B,450.0
3299,DB00630,Alendronic acid,SmallMoleculeDrug,P14324,Farnesyl pyrophosphate synthase,FDPS,419.0
3300,DB00630,Alendronic acid,SmallMoleculeDrug,P29074,Tyrosine-protein phosphatase non-receptor type 4,PTPN4,926.0
3301,DB00630,Alendronic acid,SmallMoleculeDrug,Q13332,Receptor-type tyrosine-protein phosphatase S,PTPRS,1948.0
3302,DB00630,Alendronic acid,SmallMoleculeDrug,P23469,Receptor-type tyrosine-protein phosphatase epsilon,PTPRE,700.0
3303,DB00630,Alendronic acid,SmallMoleculeDrug,P38606,V-type proton ATPase catalytic subunit A,ATP6V1A,617.0
3304,DB00631,Clofarabine,SmallMoleculeDrug,P09884,DNA polymerase alpha catalytic subunit,POLA1,1462.0
3305,DB00631,Clofarabine,SmallMoleculeDrug,P23921,Ribonucleoside-diphosphate reductase large subunit,RRM1,792.0
3308,DB00633,Dexmedetomidine,SmallMoleculeDrug,P08913,Alpha-2A adrenergic receptor,ADRA2A,450.0
3312,DB00635,Prednisone,SmallMoleculeDrug,P04150,Glucocorticoid receptor,NR3C1,777.0
3313,DB00635,Prednisone,SmallMoleculeDrug,P28845,Corticosteroid 11-beta-dehydrogenase isozyme 1,HSD11B1,292.0
3314,DB00636,Clofibrate,SmallMoleculeDrug,Q07869,Peroxisome proliferator-activated receptor alpha,PPARA,468.0
3315,DB00637,Astemizole,SmallMoleculeDrug,P35367,Histamine H1 receptor,HRH1,487.0
3316,DB00637,Astemizole,SmallMoleculeDrug,Q12809,Potassium voltage-gated channel subfamily H member 2,KCNH2,1159.0
3318,DB00640,Adenosine,SmallMoleculeDrug,P29274,Adenosine receptor A2a,ADORA2A,412.0
3319,DB00640,Adenosine,SmallMoleculeDrug,P29275,Adenosine receptor A2b,ADORA2B,332.0
3320,DB00640,Adenosine,SmallMoleculeDrug,P0DMS8,Adenosine receptor A3,ADORA3,318.0
3321,DB00640,Adenosine,SmallMoleculeDrug,P30542,Adenosine receptor A1,ADORA1,326.0
3322,DB00641,Simvastatin,SmallMoleculeDrug,P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase,HMGCR,888.0
3323,DB00641,Simvastatin,SmallMoleculeDrug,P05107,Integrin beta-2,ITGB2,769.0
3324,DB00642,Pemetrexed,SmallMoleculeDrug,P04818,Thymidylate synthase,TYMS,313.0
3325,DB00642,Pemetrexed,SmallMoleculeDrug,P31939,Bifunctional purine biosynthesis protein PURH,ATIC,592.0
3326,DB00642,Pemetrexed,SmallMoleculeDrug,P00374,Dihydrofolate reductase,DHFR,187.0
3327,DB00642,Pemetrexed,SmallMoleculeDrug,P22102,Trifunctional purine biosynthetic protein adenosine-3,GART,1010.0
3328,DB00643,Mebendazole,SmallMoleculeDrug,Q71U36,Tubulin alpha-1A chain,TUBA1A,451.0
3329,DB00643,Mebendazole,SmallMoleculeDrug,P68371,Tubulin beta-4B chain,TUBB4B,445.0
3330,DB00644,Gonadorelin,SmallMoleculeDrug,P30968,Gonadotropin-releasing hormone receptor,GNRHR,328.0
3331,DB00644,Gonadorelin,SmallMoleculeDrug,Q96P88,Putative gonadotropin-releasing hormone II receptor,GNRHR2,292.0
3332,DB00645,Dyclonine,SmallMoleculeDrug,Q9Y5Y9,Sodium channel protein type 10 subunit alpha,SCN10A,1956.0
3333,DB00647,Dextropropoxyphene,SmallMoleculeDrug,P35372,Mu-type opioid receptor,OPRM1,400.0
3334,DB00647,Dextropropoxyphene,SmallMoleculeDrug,P41143,Delta-type opioid receptor,OPRD1,372.0
3335,DB00647,Dextropropoxyphene,SmallMoleculeDrug,P41145,Kappa-type opioid receptor,OPRK1,380.0
3336,DB00648,Mitotane,SmallMoleculeDrug,P15538,"Cytochrome P450 11B1, mitochondrial",CYP11B1,503.0
3337,DB00648,Mitotane,SmallMoleculeDrug,P10109,"Adrenodoxin, mitochondrial",FDX1,184.0
3339,DB00651,Dyphylline,SmallMoleculeDrug,Q07343,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",PDE4B,736.0
3340,DB00651,Dyphylline,SmallMoleculeDrug,P27815,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A",PDE4A,886.0
3341,DB00651,Dyphylline,SmallMoleculeDrug,Q08493,"cAMP-specific 3',5'-cyclic phosphodiesterase 4C",PDE4C,712.0
3342,DB00651,Dyphylline,SmallMoleculeDrug,Q08499,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",PDE4D,809.0
3343,DB00651,Dyphylline,SmallMoleculeDrug,P30542,Adenosine receptor A1,ADORA1,326.0
3344,DB00651,Dyphylline,SmallMoleculeDrug,P29274,Adenosine receptor A2a,ADORA2A,412.0
3345,DB00651,Dyphylline,SmallMoleculeDrug,Q13946,"High affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7A",PDE7A,482.0
3346,DB00651,Dyphylline,SmallMoleculeDrug,Q9NP56,"cAMP-specific 3',5'-cyclic phosphodiesterase 7B",PDE7B,450.0
3347,DB00652,Pentazocine,SmallMoleculeDrug,P35372,Mu-type opioid receptor,OPRM1,400.0
3348,DB00652,Pentazocine,SmallMoleculeDrug,P41145,Kappa-type opioid receptor,OPRK1,380.0
3349,DB00652,Pentazocine,SmallMoleculeDrug,Q99720,Sigma non-opioid intracellular receptor 1,SIGMAR1,223.0
3350,DB00653,Magnesium Sulfate,SmallMoleculeDrug,Q06432,Voltage-dependent calcium channel gamma-1 subunit,CACNG1,222.0
3351,DB00653,Magnesium Sulfate,SmallMoleculeDrug,P54289,Voltage-dependent calcium channel subunit alpha-2/delta-1,CACNA2D1,1103.0
3352,DB00653,Magnesium Sulfate,SmallMoleculeDrug,Q13936,Voltage-dependent L-type calcium channel subunit alpha-1C,CACNA1C,2221.0
3353,DB00653,Magnesium Sulfate,SmallMoleculeDrug,Q02641,Voltage-dependent L-type calcium channel subunit beta-1,CACNB1,598.0
3354,DB00653,Magnesium Sulfate,SmallMoleculeDrug,Q08289,Voltage-dependent L-type calcium channel subunit beta-2,CACNB2,660.0
3355,DB00653,Magnesium Sulfate,SmallMoleculeDrug,Q13698,Voltage-dependent L-type calcium channel subunit alpha-1S,CACNA1S,1873.0
3356,DB00654,Latanoprost,SmallMoleculeDrug,P43088,Prostaglandin F2-alpha receptor,PTGFR,359.0
3357,DB00655,Estrone,SmallMoleculeDrug,P03372,Estrogen receptor,ESR1,595.0
3358,DB00656,Trazodone,SmallMoleculeDrug,P28223,5-hydroxytryptamine receptor 2A,HTR2A,471.0
3359,DB00656,Trazodone,SmallMoleculeDrug,P28335,5-hydroxytryptamine receptor 2C,HTR2C,458.0
3360,DB00656,Trazodone,SmallMoleculeDrug,P31645,Sodium-dependent serotonin transporter,SLC6A4,630.0
3361,DB00656,Trazodone,SmallMoleculeDrug,P08908,5-hydroxytryptamine receptor 1A,HTR1A,422.0
3362,DB00656,Trazodone,SmallMoleculeDrug,P35367,Histamine H1 receptor,HRH1,487.0
3363,DB00656,Trazodone,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor,ADRA1A,466.0
3364,DB00656,Trazodone,SmallMoleculeDrug,P08913,Alpha-2A adrenergic receptor,ADRA2A,450.0
3365,DB00657,Mecamylamine,SmallMoleculeDrug,Q15822,Neuronal acetylcholine receptor subunit alpha-2,CHRNA2,529.0
3366,DB00659,Acamprosate,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1,GABRA1,456.0
3367,DB00659,Acamprosate,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2,GABRA2,451.0
3368,DB00659,Acamprosate,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3,GABRA3,492.0
3369,DB00659,Acamprosate,SmallMoleculeDrug,P48169,Gamma-aminobutyric acid receptor subunit alpha-4,GABRA4,554.0
3370,DB00659,Acamprosate,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5,GABRA5,462.0
3371,DB00659,Acamprosate,SmallMoleculeDrug,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6,GABRA6,453.0
3372,DB00659,Acamprosate,SmallMoleculeDrug,P18505,Gamma-aminobutyric acid receptor subunit beta-1,GABRB1,474.0
3373,DB00659,Acamprosate,SmallMoleculeDrug,P47870,Gamma-aminobutyric acid receptor subunit beta-2,GABRB2,512.0
3374,DB00659,Acamprosate,SmallMoleculeDrug,P28472,Gamma-aminobutyric acid receptor subunit beta-3,GABRB3,473.0
3375,DB00659,Acamprosate,SmallMoleculeDrug,O14764,Gamma-aminobutyric acid receptor subunit delta,GABRD,452.0
3376,DB00659,Acamprosate,SmallMoleculeDrug,P78334,Gamma-aminobutyric acid receptor subunit epsilon,GABRE,506.0
3377,DB00659,Acamprosate,SmallMoleculeDrug,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1,GABRG1,465.0
3378,DB00659,Acamprosate,SmallMoleculeDrug,P18507,Gamma-aminobutyric acid receptor subunit gamma-2,GABRG2,467.0
3379,DB00659,Acamprosate,SmallMoleculeDrug,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3,GABRG3,467.0
3380,DB00659,Acamprosate,SmallMoleculeDrug,O00591,Gamma-aminobutyric acid receptor subunit pi,GABRP,440.0
3381,DB00659,Acamprosate,SmallMoleculeDrug,Q9UN88,Gamma-aminobutyric acid receptor subunit theta,GABRQ,632.0
3382,DB00659,Acamprosate,SmallMoleculeDrug,Q05586,"Glutamate receptor ionotropic, NMDA 1",GRIN1,938.0
3383,DB00659,Acamprosate,SmallMoleculeDrug,Q12879,"Glutamate receptor ionotropic, NMDA 2A",GRIN2A,1464.0
3384,DB00659,Acamprosate,SmallMoleculeDrug,Q13224,"Glutamate receptor ionotropic, NMDA 2B",GRIN2B,1484.0
3385,DB00659,Acamprosate,SmallMoleculeDrug,Q14957,"Glutamate receptor ionotropic, NMDA 2C",GRIN2C,1233.0
3386,DB00659,Acamprosate,SmallMoleculeDrug,O15399,"Glutamate receptor ionotropic, NMDA 2D",GRIN2D,1336.0
3387,DB00659,Acamprosate,SmallMoleculeDrug,Q8TCU5,"Glutamate receptor ionotropic, NMDA 3A",GRIN3A,1115.0
3388,DB00659,Acamprosate,SmallMoleculeDrug,O60391,"Glutamate receptor ionotropic, NMDA 3B",GRIN3B,1043.0
3389,DB00659,Acamprosate,SmallMoleculeDrug,P41594,Metabotropic glutamate receptor 5,GRM5,1212.0
3390,DB00661,Verapamil,SmallMoleculeDrug,Q13936,Voltage-dependent L-type calcium channel subunit alpha-1C,CACNA1C,2221.0
3391,DB00661,Verapamil,SmallMoleculeDrug,Q01668,Voltage-dependent L-type calcium channel subunit alpha-1D,CACNA1D,2161.0
